quoteid,user_name,stage,created_at,copies
2350702,RakeshM,"Auckland Airport to Auckland Hotel  Price change: Sale Price: $2,000.00 -> $1,200.00",2025-05-10 14:13:17,3
2350702,RakeshM,"Coach for 12 Hours Price change: Sale Price: $2,000.00 -> $2,200.00",2025-05-10 15:31:28,3
2350702,RakeshM,"Coach for 12 Hours Price change: Sale Price: $2,200.00 -> $2,000.00",2025-05-10 15:31:28,3
2350702,RakeshM,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-10 15:02:58,5
2350702,RakeshM,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-10 15:52:56,2
2350702,RakeshM,Dinner at Indian restaurant Price change: Child Price: $45.00 -> $0.00,2025-05-10 13:50:34,7
2350702,RakeshM,Waitomo Homestead - Classic BBQ 3 - Lunch Option Price change: Child Price: $45.00 -> $0.00,2025-05-10 13:50:34,3
2350747,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $90.00, Child Price: $35.00 -> $90.00",2025-05-03 17:20:53,2
2350759,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $30.00, Child Price: $35.00 -> $30.00",2025-05-07 14:54:31,5
2350759,hemant,Dinner at Oaks on Market Price change: Child Price: $0.00 -> $20.00,2026-01-12 11:48:03,3
2350761,RakeshM,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-05 01:01:05,2
2350761,Rakeshm,Add Product: Coach for 10 Hours ,2025-05-05 00:56:21,2
2350762,Rakeshm,Add Product: Lunch at Indian Restaurant,2025-05-05 01:11:25,2
2350763,maharshi,Add Product: Guide for Full Day,2025-06-02 11:37:35,3
2350768,RakeshM,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-05 20:17:21,2
2350769,RakeshM,Dinner at Indian Restaurant Price change: Child Price: $0.00 -> $35.00,2025-05-05 20:49:51,3
2350769,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $50.00 -> $35.00, Child Price: $50.00 -> $0.00",2025-05-05 20:35:37,2
2350769,RakeshM,Lunch at Indian Restaurant Price change: Child Price: $0.00 -> $30.00,2025-05-05 20:49:51,2
2350769,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $35.00 -> $30.00, Child Price: $35.00 -> $0.00",2025-05-05 20:35:37,2
2350773,RakeshM,"Dinner at Indian restaurant Price change: Sale Price: $45.00 -> $55.00, Child Price: $45.00 -> $55.00",2025-05-09 19:11:27,2
2350773,RakeshM,"Dinner at Indian restaurant Price change: Sale Price: $45.00 -> $65.00, Child Price: $45.00 -> $65.00",2025-05-09 19:11:27,3
2350799,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $85.00, Child Price: $35.00 -> $85.00",2025-05-07 13:31:14,2
2350803,RakeshM,Add Product: Cocktail Dinner at Indian restaurant / Venue,2025-05-07 18:26:23,2
2350803,RakeshM,Add Product: Cocktail Dinner at Indian restaurant / Venue ,2025-05-07 18:47:00,2
2350803,RakeshM,"Auckland Airport to Auckland CBD Hotel Transfer Price change: Sale Price: $0.00 -> $1,500.00",2025-05-07 18:14:34,2
2350803,RakeshM,"Cocktail Dinner at Indian restaurant / Venue  Price change: Sale Price: $110.00 -> $85.00, Child Price: $55.00 -> $65.00",2025-05-07 19:21:58,2
2350803,RakeshM,"Cocktail Dinner at Indian restaurant / Venue Price change: Sale Price: $110.00 -> $85.00, Child Price: $55.00 -> $65.00",2025-05-07 19:21:58,2
2350807,maharshi,Add Product: Asian/Western/Chinese 2 course Dinner,2025-05-08 11:48:06,2
2350807,maharshi,Add Product: Coach for 10 Hours,2025-05-08 11:48:06,2
2350807,maharshi,Add Product: Coach for 12 Hours,2025-05-08 11:48:06,2
2350807,maharshi,Asian/Western/Chinese 2 course Dinner Price change: Child Price: $0.00 -> $65.00,2025-05-09 09:36:22,2
2350808,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $36.00, Child Price: $35.00 -> $36.00",2025-05-08 17:24:19,2
2350808,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $36.00, Child Price: $35.00 -> $36.00",2025-05-08 17:34:30,2
2350808,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $36.00 -> $35.00, Child Price: $36.00 -> $35.00",2025-05-08 17:30:09,2
2350808,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $32.00, Child Price: $30.00 -> $32.00",2025-05-08 17:24:19,2
2350808,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $32.00, Child Price: $30.00 -> $32.00",2025-05-08 17:34:30,3
2350808,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $32.00 -> $30.00, Child Price: $32.00 -> $30.00",2025-05-08 17:30:09,3
2350820,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $60.00, Child Price: $35.00 -> $60.00",2025-05-09 01:06:46,5
2350820,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $60.00, Child Price: $35.00 -> $60.00",2025-05-09 01:21:06,2
2350820,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $50.00, Child Price: $30.00 -> $50.00",2025-05-09 01:06:46,3
2350820,maharshi,"Dinner at Indian Restaurant Price change: Sale Price: $60.00 -> $35.00, Child Price: $60.00 -> $35.00",2025-05-16 11:55:14,2
2350821,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $60.00, Child Price: $35.00 -> $60.00",2025-05-09 01:31:02,2
2350821,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $60.00 -> $35.00, Child Price: $60.00 -> $35.00",2025-05-09 01:29:16,2
2350821,RakeshM,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $50.00, Child Price: $30.00 -> $50.00",2025-05-09 01:31:02,2
2350840,Dhiraj,Add Product: Lunch at Indian Restaurant ,2025-05-12 17:25:57,2
2350840,RakeshM,"Cocktail Dinner at Local Indian Restaurant Price change: Sale Price: $80.00 -> $90.00, Child Price: $80.00 -> $90.00",2025-05-16 11:42:28,2
2350852,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-12 21:56:16,2
2350852,Karthik,Add Product: Dinner at Local Restaurant,2025-05-15 22:48:34,2
2350852,Karthik,Add Product: Dinner at Local Restaurant ,2025-05-15 22:56:45,3
2350852,Karthik,Add Product: Dinner at Local Restaurant ,2025-05-15 23:27:18,3
2350852,Karthik,Add Product: Lunch at Local Restaurant,2025-05-15 22:48:34,2
2350852,Karthik,Add Product: Lunch at Local Restaurant ,2025-05-15 22:56:45,2
2350852,Karthik,Add Product: Lunch at Local Restaurant ,2025-05-15 23:27:18,2
2350863,RakeshM,Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $38.00,2025-05-17 16:29:41,2
2350863,RakeshM,Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $35.00,2025-05-17 16:29:41,3
2350863,maharshi,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $40.00, Child Price: $35.00 -> $40.00",2025-05-13 12:53:51,4
2350863,maharshi,"Lunch at Indian Restaurant Price change: Sale Price: $30.00 -> $35.00, Child Price: $30.00 -> $35.00",2025-05-13 12:53:51,3
2350863,maharshi,"Lunch at Indian Restaurant Price change: Sale Price: $35.00 -> $30.00, Child Price: $35.00 -> $30.00",2025-05-13 12:57:18,2
2350875,Dhiraj,Add Product: Coach for 10 Hours,2025-05-14 19:41:37,2
2350875,Dhiraj,Add Product: Coach for 10 Hours,2025-05-14 20:13:49,2
2350896,maharshi,"Coach for 12 hours Airport - Waitomo Caves - Rotorua Price change: Sale Price: $1,800.00 -> $1,480.00",2025-05-20 17:23:29,2
2350896,maharshi,"Coach for 12 hours Queenstown - Cromwell - Lake Tekapo Price change: Sale Price: $0.00 -> $1,380.00",2025-05-23 10:02:41,3
2350896,maharshi,"Coach for 12 hours Queenstown - Cromwell - Lake Tekapo Price change: Sale Price: $0.00 -> $1,800.00",2025-05-23 10:02:41,3
2350896,maharshi,"Coach for 12 hours Rotorua - Hobbiton - Rotorua Price change: Sale Price: $1,800.00 -> $1,480.00",2025-05-20 17:23:29,2
2350896,maharshi,"Coach for Arrow Town - Queenstown Price change: Sale Price: $1,800.00 -> $1,380.00",2025-05-20 17:52:21,3
2350896,maharshi,Coach for Auckland Airport to Auckland Hotel Price change: Sale Price: $800.00 -> $350.00,2025-05-20 17:52:21,3
2350896,maharshi,"Coach for Auckland City Tour Including Airport Transfer Price change: Sale Price: $1,800.00 -> $1,050.00",2025-05-20 17:34:54,3
2350896,maharshi,Coach for Auckland Hotel to Auckland Airport Transfer Price change: Sale Price: $800.00 -> $319.00,2025-05-20 17:34:54,3
2350896,maharshi,Coach for Christchurch Hotel to Christchurch airport Price change: Sale Price: $800.00 -> $250.00,2025-05-20 17:52:21,3
2350896,maharshi,"Coach for Cromwell - Lake Tekapo Price change: Sale Price: $1,800.00 -> $1,380.00",2025-05-20 17:52:21,3
2350896,maharshi,"Coach for Cromwell - Twizel Price change: Sale Price: $0.00 -> $1,380.00",2025-05-20 18:14:48,3
2350896,maharshi,"Coach for Cromwell - Twizel Price change: Sale Price: $0.00 -> $1,800.00",2025-05-20 18:14:48,3
2350896,maharshi,"Coach for Lake Tekapo to Christchurch Airport Price change: Sale Price: $0.00 -> $1,380.00",2025-05-23 10:02:41,3
2350896,maharshi,"Coach for Lake Tekapo to Christchurch Airport Price change: Sale Price: $0.00 -> $1,800.00",2025-05-23 10:02:41,3
2350896,maharshi,"Coach for Lake Tekapo to Christchurch Price change: Sale Price: $1,800.00 -> $1,380.00",2025-05-20 17:52:21,3
2350896,maharshi,"Coach for Rotorua to Auckland Airport  Price change: Sale Price: $1,800.00 -> $785.00",2025-05-20 17:23:29,2
2350896,maharshi,"Coach for Twizel to Christchurch Price change: Sale Price: $0.00 -> $1,380.00",2025-05-20 18:10:24,3
2350896,maharshi,"Coach for Twizel to Christchurch Price change: Sale Price: $0.00 -> $1,800.00",2025-05-20 18:10:24,3
2350896,maharshi,"FOC for TM Price change: Sale Price: $0.00 -> $2,000.00",2025-05-23 10:20:59,3
2350897,Dhiraj,Add Product: Coach for 10 Hours,2025-05-16 19:57:40,2
2350897,Dhiraj,Add Product: Lunch at Indian Restaurant ,2025-05-16 19:51:10,2
2350897,Dhiraj,Add Product: Lunch at Indian Restaurant ,2025-05-16 19:57:40,2
2350897,Dhiraj,"Auckland Airport to Auckland Hotel Transfer Price change: Sale Price: $0.00 -> $1,500.00",2025-05-16 19:13:05,3
2350897,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-16 19:37:37,2
2350897,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-16 20:00:22,2
2350897,RakeshM,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-17 11:06:41,3
2350897,RakeshM,"Rotorua Hotel to Rotorua Airport Transfer Price change: Sale Price: $1,000.00 -> $1,200.00",2025-05-17 11:06:41,3
2350902,RakeshM,"Coach for Cairns City to Kuranda return transfer(53 Seat Coach) Price change: Sale Price: $1,094.00 -> $1,300.00",2025-05-17 11:41:15,3
2350919,Dhiraj,"Private Transfer from Auckland Airport to Auckland Hotel Price change: Sale Price: $4,000.00 -> $2,000.00",2025-05-19 23:33:08,2
2350919,RakeshM,Dinner at Indian restaurant Price change: Sale Price: $45.00 -> $85.00,2025-05-19 17:07:46,4
2350919,RakeshM,Dinner at Indian restaurant Price change: Sale Price: $85.00 -> $105.00,2025-05-20 00:58:57,5
2350919,RakeshM,"Private Transfer from Auckland Airport to Auckland Hotel Price change: Sale Price: $2,000.00 -> $4,000.00",2025-05-20 01:03:44,2
2350919,RakeshM,"Private Transfer from Rotorua Hotel to Rotorua / Auckland airport Price change: Sale Price: $3,000.00 -> $4,000.00",2025-05-20 01:02:48,2
2350924,Komal,"Coach for 10 hours Sydney City Tour (40 Pax) Price change: Sale Price: $0.00 -> $1,535.00",2025-05-19 12:05:48,3
2350924,Komal,"Coach for 10 hours for Blue Mountains(40 Pax) Price change: Sale Price: $0.00 -> $1,490.00",2025-05-19 12:02:47,2
2350924,Komal,"Coach for 12 hours for Port Stephen(40 Pax) Price change: Sale Price: $0.00 -> $1,680.00",2025-05-19 12:05:48,3
2350924,Komal,"Coach for 8 hours Sydney Airport to Hotel including City Tour(40 Pax) Price change: Sale Price: $0.00 -> $1,125.00",2025-05-19 12:02:47,2
2350924,Komal,Sydney Hotel to Airport(40 Pax) Price change: Sale Price: $0.00 -> $420.00,2025-05-19 12:02:47,3
2350925,Dhiraj,Add Product: Coach for 08 Hours,2025-05-19 17:50:13,4
2350925,Dhiraj,"Coach for 08 Hours Price change: Sale Price: $0.00 -> $1,550.00",2025-05-19 17:51:45,3
2350931,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-20 18:04:59,2
2350931,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-05-20 18:13:12,2
2350933,RakeshM,Airport to Hotel Including City tour 10 hours(40-48 Pax) Price change: Sale Price: $0.00 -> $980.00,2025-05-20 15:37:08,2
2350933,RakeshM,Brisbane Airport to Gold Coast hotel(24-28 Pax) Price change: Sale Price: $0.00 -> $660.00,2025-05-20 15:37:08,2
2350933,RakeshM,"Coach for 10 hours for Blue Mountains(40 Pax) Price change: Sale Price: $0.00 -> $1,595.00",2025-05-20 15:37:08,2
2350933,RakeshM,"Coach for 12 hours to Great Ocean Road(40-48 Pax) Price change: Sale Price: $0.00 -> $1,843.00",2025-05-20 15:37:08,2
2350933,RakeshM,"Coach for 12 hours to Phillip Island (40-48 Pax) Price change: Sale Price: $0.00 -> $1,461.00",2025-05-20 15:37:08,2
2350933,RakeshM,Coach for Cairns Airport to Cairns Hotel(28 Seat Coach) Price change: Sale Price: $0.00 -> $320.00,2025-05-20 15:37:08,2
2350933,RakeshM,Coach for Cairns Hotel to Cairns Airport(28 Seat Coach) Price change: Sale Price: $0.00 -> $320.00,2025-05-20 15:37:08,2
2350933,RakeshM,Coach for Inner city Transfer return transfer(28 Seat Coach) Price change: Sale Price: $0.00 -> $548.00,2025-05-20 15:37:08,2
2350933,RakeshM,Coach for Surfers Hotel to Brisbane Airport(24-28 Pax) Price change: Sale Price: $0.00 -> $530.00,2025-05-20 15:37:08,2
2350933,RakeshM,Gold Coast Hotel to Sea World return(24-28 Pax) Price change: Sale Price: $0.00 -> $635.00,2025-05-20 15:37:08,2
